"YEAR","AE","AR","AU","AZ","BD","BH","BN","BO","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEU","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","CA","CN","CO","DE","DK","DZ","EG","GB","ID","IN","IQ","IR","IT","KW","KZ","LY","MM","MX","MY","NG","NL","NO","OM","PE","PK","PL","QA","RO","RU","SA","SY","TH","TM","TT","UA","US","UZ","VE","VN","YE"
1975,1.618,7.48,5.767,"na",0.672,2.176,5.4,1.776,198.243,274.006,393.284,0.594,7.094,781.93,0.058,0.758,11.533,35.557,200.021,26.983,602.637,24.476,1175.214,0.428,71.457,8.92,1.492,18.515,0.0,6.152,0.048,35.801,2.365,1.063,1.23,14.202,13.962,3.051,"na",4.403,0.177,13.139,0.292,0.335,80.333,0.0,0.0,0.568,3.808,5.644,2.073,28.212,"na",2.575,0.0,0.0,"na",1.536,"na",518.041,"na",10.438,0.0,0.0
1976,1.891,7.132,6.808,"na",0.885,2.281,7.121,1.831,211.157,304.019,435.547,0.451,7.794,790.623,0.056,1.179,13.728,40.939,213.232,28.025,598.791,27.434,1226.17,0.493,72.085,10.179,1.515,19.499,0.0,7.749,0.366,37.913,2.385,1.291,1.715,14.469,15.003,3.671,"na",4.54,0.246,12.885,0.347,0.623,85.833,0.0,0.0,0.616,3.883,6.143,1.132,30.773,"na",2.779,0.031,0.0,"na",1.729,"na",513.821,"na",12.94,0.0,0.0
1977,3.802,7.362,7.777,"na",0.987,2.474,8.172,1.932,214.984,327.748,474.299,0.52,8.812,803.988,0.055,1.273,13.998,49.873,219.852,31.697,605.452,29.667,1278.287,0.613,75.724,12.215,1.717,19.778,0.0,7.417,0.443,39.613,5.745,1.379,1.119,14.693,13.161,4.002,"na",4.798,0.226,13.665,0.318,0.82,86.111,2.635,0.0,0.612,4.242,6.466,1.605,32.59,"na",3.911,0.035,0.0,"na",2.032,"na",516.063,"na",14.125,0.0,0.0
1978,5.567,7.595,8.373,"na",1.09,2.718,8.01,1.904,209.207,352.557,513.453,0.597,8.451,808.621,0.055,1.451,18.669,59.335,225.576,30.449,604.132,31.357,1322.074,0.807,73.076,13.838,2.281,21.15,0.0,11.502,0.712,37.934,11.043,1.54,1.16,9.204,13.145,4.485,"na",4.865,0.265,17.106,2.366,0.993,78.833,14.094,0.303,0.639,4.359,6.934,1.531,32.812,"na",5.393,0.034,0.0,"na",2.426,"na",513.95,"na",14.254,0.0,0.0
1979,5.957,7.031,9.638,"na",1.254,3.013,8.392,2.082,210.376,385.145,570.35,0.647,7.53,840.824,0.039,0.93,28.333,67.48,233.099,37.156,627.364,32.596,1411.174,0.885,77.057,14.624,2.606,21.217,0.0,18.853,1.078,38.305,16.017,1.916,1.663,8.865,12.826,5.938,"na",6.446,0.265,20.765,2.935,1.309,82.667,20.515,0.509,0.591,4.91,6.221,4.515,31.353,"na",6.621,0.035,0.0,"na",2.508,"na",529.542,"na",15.964,0.0,0.0
1980,7.332,8.165,11.067,"na",1.412,2.446,8.423,2.553,202.28,412.239,598.426,0.829,7.732,831.126,0.002,0.833,24.83,71.886,229.459,34.432,621.434,35.271,1429.552,1.034,71.228,14.382,2.784,19.387,0.0,15.41,2.098,36.415,18.788,1.133,1.217,4.73,11.936,3.867,"na",4.912,0.344,25.115,2.611,1.582,79.944,24.9,0.646,0.635,5.995,5.284,4.907,32.373,"na",9.238,0.047,0.0,"na",2.833,"na",525.091,"na",16.434,0.0,0.0
1981,8.639,8.495,11.994,"na",1.361,2.268,8.155,2.723,198.95,440.751,633.332,0.939,7.419,821.039,0.002,0.843,26.475,72.232,225.881,37.141,615.478,36.414,1454.371,0.928,68.828,12.84,3.052,20.037,0.0,17.865,2.349,36.333,19.052,1.978,0.589,5.139,13.376,4.45,"na",2.993,0.413,27.058,2.199,2.33,74.222,24.764,0.762,0.73,6.538,4.696,4.474,34.075,"na",10.771,0.047,0.273,"na",3.121,"na",519.593,"na",16.523,0.01,0.0
1982,9.262,9.521,11.698,"na",1.767,3.581,8.145,2.824,183.818,474.283,683.788,1.021,7.902,773.972,0.044,0.89,32.511,75.244,209.836,41.593,584.289,40.003,1457.76,1.326,72.247,12.024,3.254,14.219,0.0,23.31,2.57,36.929,19.366,2.593,0.646,7.039,13.734,3.491,"na",3.183,0.442,28.852,2.767,2.428,63.472,23.78,0.833,0.766,7.131,4.328,5.232,34.452,"na",11.416,0.049,1.389,"na",3.793,"na",483.19,"na",17.63,0.018,0.0
1983,8.151,12.779,12.707,"na",1.967,3.753,8.495,2.711,188.003,507.436,740.016,1.027,8.142,729.863,0.062,0.975,43.696,84.791,213.643,41.965,534.721,43.626,1469.878,1.793,67.951,12.306,3.575,15.126,0.0,33.379,3.013,38.078,22.097,3.086,0.446,8.044,12.315,3.833,"na",3.524,0.589,29.096,6.672,2.752,67.583,23.435,1.035,0.504,7.031,4.231,5.418,34.189,"na",11.147,0.075,1.635,"na",3.93,"na",437.674,"na",17.36,0.063,0.0
1984,10.725,13.109,12.532,"na",2.27,3.867,8.597,2.607,190.092,556.409,818.688,1.002,8.951,778.317,0.054,1.032,45.865,98.677,217.921,53.582,578.08,46.472,1597.005,2.087,74.476,12.528,3.634,15.817,0.242,33.976,3.869,37.224,29.79,3.534,0.56,9.364,13.034,4.157,"na",4.37,0.629,28.619,10.136,2.648,68.417,25.768,1.301,0.681,7.214,4.647,6.138,33.944,"na",17.29,0.126,2.441,"na",4.118,"na",474.984,"na",19.203,0.055,0.0
1985,12.899,13.508,13.395,13.717,2.578,4.721,8.381,2.584,195.655,"na",874.002,1.037,9.784,765.448,0.051,1.066,50.568,106.988,224.441,57.887,556.159,47.46,1639.45,2.618,80.514,13.032,3.707,14.354,1.17,37.338,4.745,41.532,32.784,4.323,0.807,10.102,13.419,3.99,4.674,4.94,0.904,27.764,11.199,2.508,71.639,25.989,1.656,0.531,7.365,4.806,5.651,32.445,424.881,17.86,0.15,3.209,78.732,4.215,40.582,447.881,32.736,19.231,0.034,0.0
1986,14.839,15.083,14.633,13.259,2.907,5.404,8.403,2.632,190.038,"na",941.193,1.113,10.278,741.771,0.038,0.989,53.014,118.034,219.116,69.161,536.463,51.414,1682.964,3.049,75.515,13.868,3.613,12.348,1.984,38.189,5.467,43.665,34.114,6.04,1.472,9.704,15.038,5.444,4.989,5.32,1.051,24.662,15.061,2.925,65.5,25.894,1.936,0.564,7.899,4.363,6.003,32.834,462.567,23.94,0.379,3.744,80.161,4.313,37.573,436.287,36.531,21.172,0.036,0.0
1987,16.468,14.733,14.939,12.187,3.416,5.251,8.383,2.753,193.899,"na",996.397,1.106,10.255,771.822,0.043,0.974,57.898,125.577,225.292,75.554,558.905,51.434,1768.22,3.405,81.857,13.999,3.807,14.771,2.529,43.101,6.045,45.714,36.449,6.958,3.562,11.88,15.412,4.541,5.406,4.75,1.169,25.067,16.284,2.897,65.611,27.94,2.169,0.56,8.459,4.384,5.806,31.206,500.547,25.46,0.373,5.231,83.379,4.569,33.692,451.981,37.667,20.632,0.036,0.0
1988,16.926,17.466,15.299,11.602,4.02,5.578,8.71,2.91,182.42,"na",1059.209,1.327,10.709,787.112,0.04,1.304,61.753,134.097,213.959,84.035,584.108,55.687,1846.321,3.427,94.527,14.372,3.671,13.747,2.497,45.058,6.66,44.023,39.808,8.15,5.32,12.898,15.664,6.498,6.111,5.225,1.022,25.393,16.811,3.482,57.917,28.117,2.182,0.528,8.968,4.35,6.065,30.559,542.39,27.645,0.883,6.2,83.568,5.259,30.664,464.188,37.762,21.121,0.027,0.0
1989,19.87,18.468,17.708,10.822,4.25,5.802,8.535,3.069,184.606,"na",1101.763,1.216,8.164,807.396,0.118,1.854,67.741,140.446,216.423,94.395,595.55,58.019,1909.159,3.514,100.427,15.167,3.71,13.27,3.203,48.583,7.45,43.111,41.879,9.69,6.127,16.286,16.011,7.752,5.748,6.46,1.071,24.376,18.195,4.032,63.306,28.522,2.265,0.448,9.561,4.028,6.417,27.395,566.3,28.31,1.446,6.194,85.082,5.269,29.149,470.747,38.897,21.687,0.032,0.0
1990,19.607,17.349,20.611,9.652,4.574,6.077,8.702,3.137,189.075,"na",1147.738,3.006,7.968,828.539,0.153,2.395,72.159,149.253,215.471,101.781,613.212,60.278,1976.277,3.199,103.448,15.418,3.925,13.421,3.27,51.657,7.767,47.604,44.54,11.593,3.781,25.778,16.317,3.981,6.094,5.89,0.835,26.386,18.011,3.839,63.889,25.288,2.448,0.429,10.212,2.766,6.52,26.645,599.59,31.844,1.592,6.75,83.095,5.463,26.594,483.378,38.614,24.382,0.039,0.0
1991,23.215,19.382,21.576,8.384,4.711,5.793,8.833,3.118,202.834,"na",1153.659,2.945,8.154,850.093,0.148,2.539,77.345,162.404,228.764,107.384,616.446,62.5,2003.751,3.326,108.879,15.612,3.886,15.398,4.109,55.703,8.74,53.003,48.909,12.911,1.653,30.452,16.411,0.475,6.247,6.213,0.845,26.759,21.388,3.745,72.167,24.839,2.482,0.402,11.03,3.091,7.897,23.327,591.313,33.412,1.858,8.365,79.782,5.535,23.092,480.808,39.637,24.311,0.069,0.0
1992,21.616,19.538,23.334,7.702,5.137,6.769,9.508,2.831,201.895,"na",1143.303,2.89,8.408,869.235,0.155,2.773,80.828,171.761,228.672,114.616,630.571,62.597,2012.539,3.767,119.965,15.914,3.981,15.619,4.28,58.001,9.452,53.899,51.831,14.435,2.156,32.23,17.135,2.489,5.859,6.431,0.855,25.938,22.39,4.054,72.667,25.64,2.713,0.363,10.822,2.977,8.229,20.482,592.233,36.337,1.922,8.924,56.879,5.349,19.875,484.669,40.509,23.996,0.203,0.0
1993,22.415,20.928,24.384,6.629,5.75,7.25,10.067,2.825,214.564,"na",1129.99,3.067,8.306,901.483,0.175,2.289,83.341,181.867,240.396,105.752,650.022,66.634,2031.473,4.413,132.064,16.897,3.897,15.543,4.695,58.747,10.867,63.37,53.848,14.667,2.423,17.221,18.238,5.149,5.283,6.042,1.081,27.778,24.124,4.619,74.111,24.618,2.603,0.382,12.458,3.804,8.575,19.492,568.599,38.038,1.902,10.045,61.801,6.003,18.171,490.18,42.621,25.895,0.241,0.0
1994,25.174,21.658,27.991,6.24,6.099,7.422,10.131,3.046,213.418,"na",1115.518,3.018,8.081,941.432,0.242,2.992,78.965,198.212,241.102,123.242,682.501,71.199,2056.951,4.82,142.947,17.697,4.02,16.295,5.087,54.011,11.646,67.654,61.353,15.857,3.011,27.356,19.243,5.671,3.267,6.071,1.405,29.223,25.552,4.219,70.0,26.64,2.726,0.398,12.7,3.605,8.944,17.24,558.483,40.632,2.062,11.104,31.517,6.876,17.225,510.331,44.653,27.39,0.241,0.0
1995,30.537,24.322,29.596,6.435,6.742,7.546,11.467,3.043,221.53,"na",1138.914,3.134,7.821,954.676,0.246,2.862,87.271,208.248,250.209,139.903,685.248,78.056,2093.59,5.319,152.741,18.091,4.215,16.815,5.509,61.491,12.031,74.059,61.63,18.078,3.011,33.234,19.011,8.814,4.112,6.023,1.611,29.186,28.289,4.591,70.778,27.605,3.818,0.386,13.026,3.686,9.313,16.8,541.194,40.783,2.601,11.756,30.569,7.381,16.068,503.321,45.956,30.526,0.14,0.0
1996,32.955,28.134,29.634,5.73,7.236,7.77,11.368,3.073,245.733,"na",1192.13,4.016,8.461,999.806,0.23,2.917,93.333,227.38,283.718,150.753,694.955,86.212,2191.936,5.813,153.918,20.272,4.547,18.209,6.694,65.251,12.801,88.077,64.939,19.732,3.078,39.086,19.031,8.837,3.556,6.099,1.572,30.805,36.146,5.165,80.111,37.117,4.128,0.392,14.153,3.652,9.708,16.008,552.322,42.189,2.771,13.59,31.076,8.334,16.244,510.232,46.352,33.001,0.277,0.0
1997,35.402,26.627,29.638,5.457,7.113,8.342,11.376,2.59,235.513,"na",1187.666,4.996,8.786,1005.083,0.255,2.793,104.161,242.063,279.056,162.255,702.377,87.51,2192.749,6.327,159.731,22.882,5.674,17.9,8.194,74.859,13.09,89.867,66.669,21.453,2.897,41.069,18.486,8.806,5.784,6.242,1.484,31.106,41.309,4.975,70.944,42.623,4.696,0.232,14.111,3.726,13.417,13.849,523.538,43.073,4.298,16.73,15.273,9.044,16.486,511.54,48.498,34.221,0.512,0.0
1998,36.143,28.776,30.274,5.092,7.686,8.771,10.502,2.706,233.521,"na",1230.749,5.235,8.211,1018.934,0.253,2.649,110.932,246.085,278.643,174.375,715.866,92.579,2249.683,6.628,165.604,23.462,6.49,17.49,7.887,80.162,13.475,94.414,65.557,23.543,2.802,46.379,18.238,9.016,5.081,6.042,1.729,32.934,41.226,6.018,67.667,43.863,4.876,0.394,14.863,3.778,16.236,12.967,541.286,44.479,5.419,18.164,11.742,9.044,15.864,517.328,51.854,35.892,0.869,0.0
1999,37.528,33.619,30.713,5.457,8.38,9.076,10.947,2.178,237.116,"na",1286.929,6.118,8.888,1027.375,0.25,3.267,121.673,261.556,286.594,189.154,714.914,94.769,2314.304,7.783,170.54,25.396,5.693,18.682,8.085,90.107,16.17,103.755,71.089,24.123,3.021,55.252,16.768,8.254,6.755,4.94,1.69,34.235,42.227,4.338,62.944,48.107,5.139,0.396,16.95,3.608,21.374,13.017,544.413,43.89,5.372,19.897,20.129,11.408,15.99,510.138,52.602,30.425,1.254,0.0
2000,37.42,36.381,31.192,5.145,9.058,9.175,11.016,3.122,242.631,"na",1356.681,6.21,9.288,1048.843,0.237,3.611,135.101,277.429,293.463,206.482,728.284,103.118,2405.524,7.841,176.305,27.414,5.736,17.669,8.499,91.889,20.212,113.479,70.684,25.363,2.993,58.752,15.959,9.12,8.475,5.586,3.341,33.379,49.682,11.204,60.694,49.422,10.321,0.333,17.952,3.853,25.772,12.756,537.056,47.319,5.372,20.895,41.493,15.098,15.788,518.6,53.379,30.996,1.544,0.0
2001,38.376,36.119,32.641,5.043,10.143,9.554,11.112,4.547,243.781,"na",1392.527,7.209,9.816,1071.928,0.229,3.792,139.069,285.444,298.25,224.975,744.455,107.711,2464.455,8.008,179.419,30.568,5.939,17.837,8.738,86.473,24.255,110.834,68.626,25.428,2.622,65.29,14.625,9.025,8.647,5.871,6.877,33.141,49.024,15.261,65.167,53.631,15.425,0.356,18.954,4.061,27.945,12.537,534.757,51.005,5.504,20.324,45.29,16.102,16.156,531.895,54.337,32.848,1.93,0.0
2002,42.305,35.117,33.001,4.678,10.671,9.899,11.173,5.826,238.709,"na",1460.286,7.345,11.154,1059.78,0.208,3.531,145.308,304.012,304.585,247.699,725.679,110.839,2520.066,9.674,180.723,32.918,5.999,17.79,8.842,88.942,26.276,108.506,75.59,26.554,2.242,77.639,14.03,8.274,9.225,5.605,8.253,33.728,50.588,17.14,63.056,65.102,16.644,0.425,20.549,4.151,30.532,12.327,547.54,53.865,6.089,21.244,47.233,18.726,17.679,511.229,55.298,31.541,2.316,0.0
2003,43.67,39.911,33.745,4.663,11.478,10.077,12.045,6.695,234.474,"na",1547.807,6.552,10.893,1065.48,0.233,3.252,156.0,323.249,307.806,260.747,728.743,120.875,2613.287,10.51,176.047,35.29,5.75,18.519,8.377,93.858,28.971,107.826,79.157,28.427,1.482,81.436,13.322,9.5,11.12,5.225,9.432,34.84,52.722,21.394,60.722,72.413,18.335,0.503,25.55,4.2,32.499,12.128,570.622,57.057,6.456,22.218,55.92,26.254,18.297,517.856,54.951,27.999,2.29,0.0
2004,45.133,43.646,35.93,4.543,12.34,9.27,11.927,9.42,238.455,"na",1632.837,8.614,10.484,1066.711,1.375,3.282,163.303,344.302,318.026,289.559,716.872,135.768,2699.547,11.559,176.735,41.786,6.135,17.137,9.876,92.055,31.762,100.931,75.695,28.138,0.95,94.944,12.436,10.355,13.105,7.657,10.021,37.027,60.142,23.214,71.611,78.585,18.658,0.828,30.677,4.565,40.541,12.069,582.577,62.396,5.938,23.148,55.176,29.37,19.366,503.11,56.657,31.53,4.014,0.0
2005,46.595,44.375,38.235,5.588,13.263,10.174,11.709,11.622,221.626,"na",1708.453,10.427,11.27,1056.447,1.778,3.574,170.776,371.996,307.982,314.045,712.905,141.479,2764.9,11.433,179.152,49.708,6.446,16.546,10.913,84.912,40.906,92.356,76.27,28.512,1.377,100.755,11.582,11.685,14.588,10.735,11.986,44.312,67.699,23.796,65.417,85.199,20.849,1.46,32.61,4.517,47.403,11.283,589.474,67.678,5.749,24.518,59.624,32.134,19.674,489.441,56.501,30.435,6.215,0.0
2006,47.57,44.832,40.682,6.594,14.363,10.763,12.256,12.445,211.152,"na",1798.556,10.931,14.548,1067.982,2.417,3.872,185.528,390.537,300.31,336.153,729.574,155.261,2866.539,11.674,179.397,59.014,6.765,16.345,10.843,81.299,52.649,83.763,75.397,28.187,1.377,109.792,10.534,11.789,15.231,12.535,12.38,48.452,68.465,28.114,64.417,88.003,24.291,1.709,33.319,4.513,52.475,11.116,604.781,69.788,5.891,25.17,63.126,39.02,19.964,501.724,59.236,34.945,6.755,0.0
2007,49.033,43.597,42.751,10.56,15.336,11.199,11.948,13.33,196.849,"na",1868.663,12.592,17.248,1072.66,2.819,3.909,197.363,407.06,287.585,367.738,743.427,160.711,2941.323,11.754,174.679,69.785,7.258,14.972,9.615,81.646,53.602,75.506,72.579,28.965,4.543,123.075,9.313,10.697,15.792,14.516,13.283,46.859,67.63,35.008,63.306,89.633,24.607,2.575,33.8,4.532,65.412,10.738,601.613,70.699,5.655,26.903,68.426,41.04,19.973,521.889,60.854,37.247,6.832,0.0
2008,48.984,42.848,41.683,15.927,16.376,12.018,11.85,13.792,198.406,"na",1945.017,16.726,18.257,1100.422,3.46,3.744,205.545,426.35,298.959,397.64,759.801,161.454,3045.44,14.62,166.503,80.932,8.719,13.638,10.49,82.601,56.759,72.784,74.83,29.392,6.458,128.866,8.88,12.065,18.291,15.105,12.183,47.231,69.205,34.355,69.639,99.359,24.136,3.498,34.608,4.291,79.675,10.458,611.453,76.418,5.561,29.798,69.088,40.81,20.295,546.067,60.413,33.423,7.237,0.0
2009,47.619,40.287,46.698,15.913,18.747,12.134,11.129,11.882,178.955,"na",1857.683,16.137,18.588,1095.08,2.736,3.708,192.845,447.517,283.477,419.596,765.216,156.273,2952.763,12.486,155.05,85.94,10.112,12.748,8.757,76.567,60.339,61.217,78.044,35.69,6.853,141.556,7.688,10.915,19.009,15.105,11.352,52.583,66.914,24.697,65.611,103.601,23.914,3.586,34.702,4.28,92.425,10.395,536.19,74.527,6.136,31.984,38.046,42.417,20.337,557.583,58.117,31.796,7.73,0.782
2010,50.0,38.996,54.011,16.255,19.254,12.429,11.975,13.715,182.004,"na",2049.136,18.214,18.104,1120.18,3.255,3.684,206.058,496.541,289.485,481.575,775.926,163.803,3169.316,15.276,149.591,96.545,10.843,11.126,8.536,77.397,59.021,57.911,87.001,47.956,7.135,150.081,8.065,11.146,20.43,15.973,12.208,51.178,67.563,35.454,73.778,106.446,25.698,7.315,35.348,4.295,123.873,10.023,598.387,83.277,8.426,37.504,44.292,43.523,19.428,575.157,56.891,30.452,9.073,6.255
2011,51.0,37.717,55.651,15.951,19.582,12.624,12.479,15.034,161.219,"na",2129.449,17.892,18.267,1139.569,4.231,3.049,202.647,500.078,262.946,526.446,820.527,167.488,3269.018,17.52,151.07,106.166,10.546,10.467,6.857,79.599,59.143,46.091,82.679,43.968,6.302,157.461,8.107,12.856,20.089,7.462,12.55,52.099,66.951,38.55,67.139,100.507,27.128,11.481,35.34,4.477,150.356,10.079,616.828,87.647,7.417,38.264,62.275,41.904,19.544,617.359,53.945,30.236,8.183,9.423
2012,52.942,36.691,59.526,16.81,21.336,13.052,12.251,17.14,151.548,"na",2161.622,18.083,18.035,1175.511,2.521,2.834,207.836,509.402,266.533,552.189,850.28,173.769,3337.133,20.17,150.305,111.478,11.526,9.463,5.991,78.444,58.598,39.199,78.3,38.226,6.341,163.665,8.256,14.739,19.832,11.59,12.511,50.85,69.251,41.121,66.778,113.862,28.322,11.958,36.597,4.544,162.546,10.098,601.855,94.364,6.079,42.863,65.139,41.545,19.393,649.125,53.851,31.905,9.028,7.617
2013,53.235,34.556,61.8,17.446,21.953,13.958,11.901,19.575,150.39,"na",2192.004,18.488,18.639,1184.185,6.251,2.547,198.332,519.607,259.351,569.134,860.101,176.877,3376.189,22.323,151.92,121.811,13.223,8.606,4.974,79.339,53.965,36.987,77.624,31.855,7.073,164.283,7.421,15.496,21.382,12.16,12.861,52.488,72.91,34.38,71.833,107.93,30.786,12.399,35.586,4.446,167.676,10.002,614.496,95.028,4.995,43.259,65.205,41.663,20.159,655.693,53.851,30.59,9.41,10.353
2014,52.888,34.486,66.644,18.384,23.022,14.697,11.556,20.277,137.637,"na",2214.563,18.83,23.457,1232.301,7.331,2.438,200.586,539.427,246.661,589.857,915.128,179.112,3446.865,23.745,159.102,131.181,12.333,8.084,4.801,80.172,46.961,37.438,76.4,30.222,7.531,183.051,6.859,14.277,21.681,11.827,16.543,51.3,71.992,42.796,60.611,108.008,29.349,13.127,34.987,4.334,169.091,10.194,591.155,97.261,4.618,43.569,70.181,40.919,20.219,704.726,54.229,31.788,9.853,9.762
2015,58.676,35.491,76.039,18.784,25.854,14.757,12.165,19.561,124.488,"na",2248.327,19.707,29.312,1271.102,8.066,2.737,203.648,564.013,241.668,608.407,949.191,180.857,3519.429,24.209,160.941,135.669,11.61,7.526,4.794,81.411,42.591,40.669,76.162,29.22,7.301,191.415,6.497,16.064,21.973,12.374,19.217,47.947,73.856,47.565,45.361,116.238,30.747,12.657,35.048,4.283,175.243,10.217,584.44,99.227,4.053,41.184,72.761,38.527,18.834,740.303,54.608,36.065,10.287,2.856
2016,59.557,37.282,96.419,18.278,26.451,14.682,11.736,17.59,121.847,"na",2263.19,21.45,30.48,1286.628,9.047,2.916,206.966,580.273,238.56,630.827,944.577,178.786,3549.817,24.534,171.637,137.942,10.877,6.924,4.7,91.392,40.252,41.75,70.739,27.347,9.896,203.158,5.55,16.426,22.949,11.235,18.28,43.651,75.556,42.636,41.972,115.779,31.448,14.018,34.679,4.132,177.01,9.053,589.275,105.317,3.647,40.406,66.945,33.533,19.023,729.289,53.124,38.035,10.239,0.639
2017,60.45,37.15,113.46,17.731,26.59,15.076,11.998,17.09,117.775,"na",2366.8,26.04,30.588,1313.577,9.535,2.836,225.035,607.527,241.91,659.87,951.52,179.006,3680.378,27.509,176.312,149.194,10.138,6.377,5.05,91.245,49.018,41.891,67.976,28.504,10.392,223.892,5.314,17.373,27.133,11.526,17.979,40.69,78.441,47.206,36.591,123.228,32.258,13.011,34.65,4.039,175.712,10.313,635.561,111.425,3.107,38.691,62.03,33.832,19.441,734.517,53.394,37.441,9.453,0.65
